AffiliateProgram,Product_type,Commission,Cookie,Signup,Description,Categories
Zachys Affiliate Program,Physical Product,$5 to $150 Per Sale,30 Days,https://www.zachys.com/affiliate,Zachys sells a wide range of wines and other liquor products in the United States and other countries around the world.,"Alcohol, Drink, High-Paying, Wine"
Cellars Wine Club Affiliate Program,Physical Product,10% Per Sale,90 Days,https://cellarswineclub.com/wine-club-help-center/wine-club-affiliate-program/#,"Cellars Wine Club is among the most popular wine clubs in the United States, delivering high-quality and super tasty wines of all varieties.","Alcohol, Drink, Wine"
Homewetbar.com Affiliate Program,Physical Product,10% Per Sale,15 Days,https://www.shareasale.com/shareasale.cfm?merchantID=28144&utm_source=getlasso,"HomeWetBar.com has been a personalized gift leader, specializing in creating personalized glassware, barware, signs, and decor.","Alcohol, Drink, Gift"
The Whiskey Barrel Affiliate Program,Physical Product,5% Per Sale,30 Days,https://ui.awin.com/merchant-profile-terms/3418,"Independent, family-run online whisky merchant, selling drinks such as scotch, spirits, rum, and other expensive alcoholic drinks.","Alcohol, Beer, Drink, Wine"
Bar Products Affiliate Program,Physical Product,5% Per Sale,3 Days,https://barproducts.com/pages/become-an-affilate,"Bar Products is the largest source for barware, bar supplies, and everything for the pro and home bartender.","Alcohol, Drink"
Wine Enthusiast Affiliate Program,Physical Product,3% Per Sale,Unknown,https://signup.cj.com/member/signup/publisher/?cid=1004122&utm_source=getlasso#/branded,"Wine Enthusiast is home to the widest selection of wine accessories, wine cellars, and other unique gift items.","Alcohol, Drink, Gift, Wine"
FibreHeat Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=98302&utm_source=getlasso,"FibreHeat offers warm gloves, gloves with technology heating, merino gloves, cashmere gloves, winter gloves, masks, printed masks, and more.","Fashion, Health and Wellness"
Chewy Affiliate Program,Physical Product,$15 Per Sale,15 Days,https://signup.partnerize.com/signup/en_us/chewy,"Chewy has everything you need for your pet at amazing prices, every day. Explore more than 1,000 favorite brands, including Blue Buffalo, Nutro, Natural Balance, and Tidy Cats – all from the comfort of home.","Cat, Dog, Pet"
Standard Luggage Co. Affiliate Program,Physical Product,10% Per Sale,30 Days,https://standardluggage.refersion.com/,"Standard Luggage Co. strives for design and innovation excellence in providing modern, versatile, and durable gear for the global traveler.","Luggage, Travel"
G-RO Affiliate Program,Physical Product,10% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=74233&u=942247&utm_source=getlasso,"G-RO offers Carry-On Luggage for the Modern Traveler, designed and constructed to make every journey seamless and delightful.","Luggage, Travel"
Luggage Forward Affiliate Program,Digital Service,8% Per Sale,90 Days,https://app.luggageforward.com/affiliates/sign_up,Luggage Forward provides guaranteed doorstep to destination delivery of baggage to more than 200 countries and territories worldwide.,"Luggage, Travel"
Paravel Affiliate Program,Physical Product,7% Per Sale,10 Days,https://www.flexoffers.com/affiliate-programs/paravel-affiliate-program/,"Paravel creates adventure-proof, luxury luggage that is designed to go anywhere from the office to the outback.","Luggage, Travel"
Titan Luggage Affiliate Program,Physical Product,7% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=74623&u=942247&utm_source=getlasso,"Titan Luggage is a German brand name luggage, manufacturing and designed by experts to perfection with a stylish modern look.","Luggage, Travel"
Packs Project Affiliate Program,Physical Product,4% Per Sale,30 Days,https://app.impact.com/campaign-mediapartner-signup/Packs-Project.brand?execution=e1s1&utm_source=getlasso,"Packs Project offers luxury backpacks, duffels, weekenders, and travel gear without the luxury price point.","Luggage, Travel"
Bentley Luggage Affiliate Program,Physical Product,4% Per Sale,15 Days,https://www.shopbentley.com/en/become-an-affiliate,"Bentley is another retailer that sells a variety Backpacks, Handbags, Luggage, Briefcases, Wallets and more.","Luggage, Travel"
Incase Affiliate Program,Physical Product,12% Per Sale,30 Days,https://www.pepperjamnetwork.com/affiliate/registration?refid=163125&utm_source=getlasso,"Incase offers the best Laptop Backpacks, Camera Bags, and Travel Carry-On Luggage centered on protection and mobility.","Luggage, Travel"
Saddleback Leather Affiliate Program,Physical Product,6% Per Sale,45 Days,https://saddlebackleather.com/affiliates/,"Saddleback Leather is one of the most well-known, offering hand-made from some of the highest quality leather in the world.","Luggage, Travel"
Appliances Connection Affiliate Program,Physical Product,4% Per Sale,30 Days,https://appliancesconnection.refersion.com/,"Appliances Connection leads in high-end appliances, furniture, and more, delivering and installing luxury for your home & business.","Appliance, Electronics"
BestBuy Affiliate Program,Physical Product,0.5% Per Sale,1 Day,https://app.impact.com/campaign-promo-signup/Best-Buy-US.brand?execution=e1s1&utm_source=getlasso,"Best Buy offers a wide range of electronics, computers, appliances, cell phones, video games & more new tech.","Appliance, Electronics, Tech"
Appliance Parts Pros Affiliate Program,Physical Product,7% - 9% Per Sale,30 Days,https://www.appliancepartspros.com/aff/,"Appliance Parts Pros sells parts for appliance products that need to be serviced or repaired, carrying more than 2.1 million appliance parts.",Appliance
Abt Electronics Affiliate Program,Physical Product,6% Per Sale,Unknown,https://signup.cj.com/member/signup/publisher/?cid=4601919&utm_source=getlasso#/branded,"Abt Electronics is the largest independent, single-location retailer of appliances, electronics, and home goods in the US.","Appliance, Electronics"
SmallAppliance.com Affiliate Program,Physical Product,10% Per Sale,30 Days,http://www.smallappliance.com/Affiliateregister.asp,SmallAppliance.com offers a big selection of genuine replacement parts and accessories for kitchen small appliances & personal care products.,"Appliance, Electronics"
9 Months Maternity Affiliate Program,Physical Product,8% Per Sale,45 Days,https://www.9monthsmaternity.com/affiliate-program,9months is a contemporary maternity and nursing clothing line for a new generation of pregnant women who want to be stylish.,Pregnancy
Motherhood Closet Affiliate Program,Physical Product,10% Per Sale,30 Days,https://motherhoodcloset.refersion.com/,Motherhood Closet Maternity Consignment is a fresh take on online maternity consignment shopping for new and gently used maternity clothes.,Pregnancy
Tiffany Rose Affiliate Program,Physical Product,Unknown,Unknown,https://www.tiffanyrose.com/maternity/info/affiliates.html,"Tiffany Rose is a UK fashion label, designing beautiful and high-quality maternity bridal wear & occasion dresses.",Pregnancy
Belly Armour Affiliate Program,Physical Product,15% Per Sale,60 Days,https://account.shareasale.com/newsignup.cfm,Belly Armor provides a small range of products aimed at protecting mum and baby from the radiation that emits from most wireless devices.,Pregnancy
Baby Plus Affiliate Program,Physical Product,10% - 20% Per Sale,Lifetime,https://babyplus.com/affiliate-area-applynow/,Baby Plus is a cool little site that provides age-appropriate auditory sounds designed to spark cognitive development.,Pregnancy
She Births Affiliate Program,Digital Service,10% Per Sale,Unknown,https://shebirths.com/affiliate-program/,"SheBirths is the only scientifically verified childbirth education program in the world, proven to improve birth outcomes for mother and baby.","Education, Pregnancy"
Belly Bandit Affiliate Program,Physical Product,7% Per Sale,30 Days,https://bellybandit.refersion.com/,"Belly Bandit offers maternity and belly support, C-section recovery, and postpartum shapewear trusted by doctors, doulas, and new moms.",Pregnancy
Figure 8 Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.figure8moms.com/affiliate/affiliateInfo.cfm,"Figure 8 curates maternity clothing, nursing outfits, after-baby, and clothes for women for trying to regain their shape after pregnancy.",Pregnancy
Giving Birth Naturally Affiliate Program,Digital Service,30% Per Sale,6 Months,https://www.givingbirthnaturally.com/affiliate-program.html,GivingBirthNaturally.com is dedicated to providing the evidence-based information families need to advocate for the birth they want.,"Blogger, High-Paying, Pregnancy"
One Fur All Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.onefurallpets.com/pages/affiliate,"One Fur All is the creator of the Pet House Candle, specially designed to freshen pet-loving homes, made with an effective odor neutralizer.","Candle, Dog, Pet"
Pure Integrity Affiliate Program,Physical Product,15% Per Sale,Unknown,https://www.pureintegrity.com/candle-affiliate-program.html,"Pure Integrity sells soy candles with strong scents, comes in a wide diversity of aromas like summer, lilac, Lily, and bouquet.",Candle
Cancelled Plans Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=92790&utm_source=getlasso,"Cancelled Plans is a relatable candle company, using a clean-burning blend of coconut and apricot wax, cotton wicks, and natural fragrances.",Candle
Wishes Candle Affiliate Program,Physical Product,Unknown,Unknown,https://www.wishescandleco.com/pages/affiliates,"Wishes candle sells 16 -oz. And 6 -oz. wax tarts, candles, and air fresheners that are hand poured with scents.",Candle
Brooklyn Candle Studio Affiliate Program,Physical Product,10% to 20% Per Sale,30 Days,https://app.impact.com/campaign-promo-signup/Brooklyn-Candle-Studio.brand?execution=e1s1&utm_source=getlasso,"Brooklyn Candle Studio is a soy-scented company, that makes eco-friendly, small-batch candles that are handmade in their Brooklyn studio.",Candle
Gourmet Candle Affiliate Program,Physical Product,10% Per Sale,Unknown,https://gourmetcandle.org/blogs/affiliate-program/join-gourmet-candles-affiliate-program-and-make-easy-money,"Gourmet Candle is an online candle shop, offering a collection of handmade bakery candle pies, tins, melts and gift sets.",Candle
Forage Affiliate Program,Physical Product,10% Per Sale,7 Days,https://smellslikebooks.com/pages/become-an-affiliate,Forage sells unique candles that book lovers love to buy. Their candles smell like books and are good for the environment.,Candle
Wax and Wick Affiliate Program,Physical Product,15% Per Sale,Unknown,https://affiliates.waxandwick.co/,"Wax and Wick deals with candles for men, scents revolve around themes of men like coffee, whiskey aromas, and campfires.",Candle
InsideTracker Preferred Affiliate Program,Digital Product,8% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=94578&utm_source=getlasso,InsideTracker Preferred is a leading personalized nutrition platform that turns your body’s data into meaning and action.,"Fitness, Food, Health and Wellness, Mobile App, Nutrition"
N95 Medical Supplies Affiliate Program,Physical Product,20% Per Sale,45 Days,https://www.shareasale.com/shareasale.cfm?merchantID=97726&utm_source=getlasso,"N95 Medical Supplies is one of the world's best resources for personal protective equipment, providing the lowest-priced medical supplies.","Health and Wellness, Medical"
Dose of Colors Affiliate Program,Physical Product,Unknown,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=97360&utm_source=getlasso,"Dose of Colors is a high-efficacy color cosmetics company, offering an array of highly pigmented makeup colors for lips, face, and eyes.","Beauty, Makeup"
AeroBand Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=98135&utm_source=getlasso,"Aeroband is a smart hard-device electronic product and digital intelligent hardware manufacturer, bringing music to everyone.","Music, Tech"
Mask Market Affiliate Program,Physical Product,13% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=98045&utm_source=getlasso,"Mask Market is the first PPE equipment website that allows you to design your own Face mask, multiple Gaiter, and Protective Face Covers.","Health and Wellness, Medical"
Alain Dupetit Affiliate Program,Physical Product,14.06% Per Sale,60 Days,https://www.affiliatly.com/program/19884.html,"Alain Dupetit (ADsuits) designs the most affordable, inexpensive, high-quality men's suits, tuxedos, shirts, ties, and accessories.",Fashion
Hawkers UK Affiliate Program,Physical Product,10% Per Sale,30 Days,https://ui.awin.com/merchant-profile/19691?pid=51861&utm_source=getlasso,Hawkers is an international sunglasses brand that has more than high-quality 400 different models each season.,"Eyewear, Fashion"
Browns Fashion Global Affiliate Program,Physical Product,Unknown,30 Days,https://www.brownsfashion.com/ph/affiliates,"Browns Fashion Global is an iconic British fashion and luxury goods boutique, offering the latest designer clothing, bags, shoes, and jewelry.",Fashion
Dish Denim Affiliate Program,Physical Product,2% Per Sale,30 Days,https://www.avantlink.com/programs/19497/dish-denim-affiliate-program/?fbclid=IwAR1afUleXiqVjVXbRzsKCSEUymKOfGPewaqdzBw-d0qcKAaYGOCtSetB3Ec&utm_source=getlasso,Dish Denim offers Stylish jeans for women that move easily to stay comfortable and carefree and value great style and long-lasting quality.,Fashion
MEC Affiliate Program,Physical Product,6% Per Sale,14 Days,https://www.avantlink.com/programs/18557/mountain-equipment-coop-affiliate-program/,"MEC is Canada’s go-to place for outdoor gear, supports a wide range of activities including camping, watersports, cycling, hiking, and travel.","Bicycle, Camping, Mountain Climbing, Sports, Travel"
Bright Brain Affiliate Program,Physical Product,10% - 30% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=32496&utm_source=getlasso,"Bright Brain Inc. is one of the industry's most trusted and unique suppliers of Nootropics, cognitive enhancing supplements & CBD.","CBD, Health and Wellness, Supplements"
HempFusion Affiliate Program,Physical Product,25% Per Sale,90 Days,https://www.hempfusion.com/cbd-affiliate-program/,HempFusion™ is Leading the Hemp Revival™ and creating a new category with the introduction of hemp-based whole-food complex nutrition.,"CBD, Health and Wellness, High-Paying"
Belvilla FR Affiliate Program,Digital Service,5.5% Per Sale,30 Days,https://ui.awin.com/merchant-profile/12836?pid=51861&utm_source=getlasso,"Belvilla has become one of the biggest players in the vacation rental market, accommodations are suitable for every type of holiday.","Real Estate, Travel"
Votre Carte Grise FR Affiliate Program,Digital Service,Unknown,30 Days,https://ui.awin.com/merchant-profile/7386?pid=51861&utm_source=getlasso,Your-Carte-Grise.com is a professional site certified by the Ministry of the Interior for the establishment of your registration certificate.,Automotive
ALPAKA Affiliate Program,Physical Product,8% Per Sale,30 Days,https://www.avantlink.com/programs/19369/alpaka-affiliate-program/,"ALPAKA creates hand-crafted world-class bags and accessories with style, function, and craftsmanship sustainably.","Luggage, Travel"
Mirta Affiliate Program,Physical Product,Unknown,90 Days,https://www.mirta.com/pages/affiliate-program,"Mirta is your online destination for Made in Italy, offers a unique and curated selection of hundreds of small Italian artisans.",Fashion
Hermoza Affiliate Program,Physical Product,8% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=96510&utm_source=getlasso,"Hermoza offers elegant and accessible swim and resort wear that moves, shapes, sculpts, and protects, made to flatter all body types.",Fashion
Day Owl Affiliate Program,Physical Product,7% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=94364&utm_source=getlasso,Day Owl is a sustainable backpack company that makes a collection of essential products for your everyday packing needs.,"Luggage, Travel"
Carly Australia Affiliate Program,Digital Service,AU 2.50 Per Sale,30 Days,https://www.commissionfactory.com/advertiser-directory/carly-australia-affiliate-program/67365,Carly Australia is the car subscription revolution and works with Australia's most experienced car subscription service.,Automotive
Hema Maps Affiliate Program,Digital Service,10% Per Sale,30 Days,https://www.commissionfactory.com/advertiser-directory/hema-maps-affiliate-program/61641,"Hema Maps is Australia's most trusted source of 4WD and touring navigation, preparing explorers for over 30 years.","Tech, Travel"
sass & bide Affiliate Program,Physical Product,7% Per Sale,30 Days,https://www.commissionfactory.com/advertiser-directory/sass-bide-affiliate-program/66206,"sass & bide is an Australian designer label, dedicated to the strong, the obscure & the beautiful to create the unique sass & bide style.",Fashion
Youfoodz Affiliate Program,Physical Product,6% Per Sale,30 Days,https://www.commissionfactory.com/advertiser-directory/youfoodz-affiliate-program/62459,"Youfoodz makes healthy eating easy (and tasty) with fresh, ready-to-eat meals, snacks & juices delivered to your door.",Food
Marcs Affiliate Program,Physical Product,7% Per Sale,30 Days,https://www.commissionfactory.com/advertiser-directory/marcs-affiliate-program/66207,"Marcs is inspired by the color, energy, and creativity of Australia and brings that to their collections for men & women.",Fashion
LolaHemp Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=97993&utm_source=getlasso,"LolaHemp offers plant-powered health solutions, veterinarian formulated and third-party tested. for their furry friends.","CBD, Health and Wellness, Pet"
Meno Chill Affiliate Program,Physical Product,20% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=98196&utm_source=getlasso,Meno Chill offers Menopause Complete Probiotic Symptom Supplements Relief For All Women During ALL Stages of Menopause.,"Health and Wellness, Supplements, Women’s Health"
Go Hemp USA Affiliate Program,Physical Product,25% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=97829&utm_source=getlasso,"Go Hemp is a lifestyle cannabis brand made for people who fearlessly take on the adventures of life, regardless of age.","CBD, Health and Wellness, High-Paying"
FINT Design Affiliate Program,Physical Product,8% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=97861&utm_source=getlasso,Fint Designs brings the best Nordic interior design ideas to deliver affordable to households across the world.,"Candle, Home Decor, Sleep"
Covers and All UK Affiliate Program,Physical Product,8% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=97364&utm_source=getlasso,"Covers and All UK is a one-stop-shop for all types of patio furniture, grill, TV, garden, indoor, and more custom covers and related products.","Gardening, Home Decor, Sleep"
Covers and All Australia Affiliate Program,Physical Product,8% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=97363&utm_source=getlasso,Covers and All Australia provides high-quality custom-made cover solutions with a wide range of UV-resistant fabrics for outdoor use.,"Gardening, Home Decor, Sleep"
Lime Lace Affiliate Program,Physical Product,2% to 5% Per Sale,90 Days,https://www.webgains.com/public/en/directory/lime-lace-affiliate-programme/,,"Art, Candle, Gardening, Home Decor, Home Improvement, Sleep"
Bungalow (US) Affiliate Program,Physical Product,$0.50 Per Lead,30 Days,https://ui.awin.com/merchant-profile/19442?pid=51861&utm_source=getlasso,Bungalow is the largest co-living company in the country and is on a mission to create a world where everyone can truly feel at home.,"Mobile App, Real Estate"
Haven Mattress & More Affiliate Program,Physical Product,$50 Per Sale,30 Days,https://havenmarketing.refersion.com/?oid=63207&utm_source=getlasso,Haven Mattress & More is Canada's first and best plant-based luxury mattress that will dramatically improve the quality of life.,"Home Decor, Mattress, Sleep"
Spidermall Affiliate Program,Physical Product,20% Per Sale,120 Days,https://www.shareasale.com/shareasale.cfm?merchantID=98476&utm_source=getlasso,"SpiderMall is one of the leading retailers of electronic, pets related and outdoors, medical items in the United States.","All-Around, Bicycle, Ecommerce, Fitness, Home Decor, Home Security, Toy"
Uhommi Affiliate Program,Physical Product,6% Per Sale,30 Days,https://www.uhommi.com/pages/make-money,"Uhommi offers unique home decor products including wall tapestries, shower curtains, rugs, pillowcases, sofa covers, and many other kinds.","Appliance, Electronics, Home Decor"
NOVA of California Affiliate Program,Physical Product,8% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=98118&utm_source=getlasso,NOVA of California is a lighting and décor company that sells original designs with a California modern edge.,"Appliance, Electronics, Home Decor, Home Improvement"
Artemest Affiliate Program,Physical Product,5% Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5398827&utm_source=getlasso#/branded,"Artemest is the online destination for Luxury Handmade Furniture, offering unique decorative pieces from more than 950 artisans.","Appliance, Candle, Cooking, Electronics, Home Decor, Sleep"
Bouclair Affiliate Program,Physical Product,2% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=LP4SWZa2x54TnmfZyJfVfrYC&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=vA95UgnKSHzhnNKxnqVDm92c&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=N87AD_QAjyV1pOC1euPIelVQMFJkEIouQNJRxmOqD9s&scope=openid&utm_source=getlasso,Bouclair Inc. is a Canadian privately-owned company and a lifestyle brand that offers home fashion and decor products.,"Appliance, Art, Electronics, Home Decor, Sleep"
The Little Market Affiliate Program,Physical Product,5% Per Sale,30 Days,https://app.impact.com/campaign-promo-signup/The-Little-Market.brand?execution=e1s1&utm_source=getlasso,The Little Market is a nonprofit shop selling products made by artisans in underserved communities to support economic empowerment.,"Baby Products, Candle, Gift, Home Decor, Toy"
Rachel Silk Affiliate Program,Physical Product,15% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=98391&utm_source=getlasso,"RachelSilk sells products of genuine mulberry silk, such as women's silk sleepwear, shirts,  lingerie, dresses, pillowcase, and more.","Fashion, Sleep"
Keren Kopal Affiliate Program,Physical Product,20% Per Sale,120 Days,https://www.shareasale.com/shareasale.cfm?merchantID=98134&utm_source=getlasso,"Keren Kopal makes Faberge-styled trinket boxes, eggs, animals, and other accessories for art lovers made originally and in limited series.","Home Decor, Toy"
Spoon Sleep Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=97964&utm_source=getlasso,Spoon offers exclusive support pillars placed strategically in the mattress to provide pressure point management.,"Home Decor, Mattress, Sleep"
zbdbed Affiliate Program,Physical Product,6% to 15% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=98303&utm_source=getlasso,"zbdbed is the world’s first CBD-Infused Mattresses, harnessing benefits to connect physical & mental wellness & sleep.","CBD, Home Decor, Mattress, Sleep"
ezliftbed Affiliate Program,Physical Product,6% and 15% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=98303&utm_source=getlasso,ezliftbed is a Sleep Stand Bed with a unique design that helps people that struggle to get in and out of a regular bed.,"Home Decor, Sleep"
Sweave Affiliate Program,Physical Product,5% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=96519&utm_source=getlasso,Sweave makes the world's most comfortable bedding made ethically and eco-friendly that keeps you cool through the night.,"Home Decor, Sleep"
Rise&Fall Affiliate Program,Physical Product,10% Per Sale,30 Days,https://ui.awin.com/merchant-profile/16965?pid=51861&utm_source=getlasso,"Rise & Fall offers bed linen to help create a good night’s sleep by offering ultra-high quality, sustainably produced sheets.","Fashion, Home Decor, Sleep"
Sharon Osbourne Home Affiliate Program,Physical Product,5% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=ZnTdT4SB68Y5JdnKsSgzXY8_&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=8LBSEzlgri1GaXOFYTLMjB1i&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=5uF-YT0EkXm21YuKXissYGY5N1C0aXeqQNdd3OYkl-8&scope=openid&utm_source=getlasso,"Osbourne Home by Sharon Osbourne is a lifestyle brand inspired by the iconic style, values, and personality of founder Sharon Osbourne.","Home Decor, Sleep"
Chili Preferred Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=98232&utm_source=getlasso,"ChiliSleep™ is an Award-Winning sleep technology brand, designed to help you sleep better, faster & deeper.","Appliance, Electronics, Health and Wellness, Home Decor, Mattress, Sleep"
Areaware Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=97013&utm_source=getlasso,"Areaware creates objects and gifts for the home, work, and play in collaboration with independent designers.","Gaming, Home Decor, Sleep, Toy"
Dr. Prepare Affiliate Program,Physical Product,10% to 12% Per Sale,45 Days,https://www.shareasale.com/shareasale.cfm?merchantID=100194&utm_source=getlasso,"Dr. Prepare offers premium household and outdoor electronic products with high quality, great portability, and wide application.","Appliance, Electronics, Home Decor"
The Nested Fig Affiliate Program,Physical Product,10% Per Sale,7 Days,https://www.shareasale.com/shareasale.cfm?merchantID=100191&utm_source=getlasso,"The Nested Fig is an online Home and Garden Lifestyle Boutique, offering a wide variety of Home and Garden Décor in many styles.","Appliance, Art, Candle, Electronics, Fragrance, Gardening, Home Decor"
LateMornings Affiliate Program,Physical Product,10% - 17% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=100078&utm_source=getlasso,LateMornings offers luxury bedding sets made with care and craftsmanship from high-quality 100% cotton and linen.,"Home Decor, Mattress, Sleep"
Sleepenvie Affiliate Program,Physical Product,5% Per Sale,30 Days,https://sleepenvie.com/pages/referral,"Sleepenvie offers high-quality mattresses that provide a better night's sleep, you'll wake up happier and more stay alert.","Health and Wellness, Home Decor, Mattress, Sleep"
Luxo Living Affiliate Program,Physical Product,5% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=qc5cuVOGZl1AbPmnjnJTFdXs&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=tQj8apbivx9QZmpncS2x6Xqo&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=hk9QvaAvZfaQdMlzrbBom81iXNQxo88taB9_6x-TmMA&scope=openid&utm_source=getlasso,"Luxo Living offers the best prices for all quality in-demand indoor/outdoor furniture, wine fridges, saunas, and many more.","Home Decor, Mattress, Sleep"
Chili UK Affiliate Program,Physical Product,8% Per Sale,45 Days,https://signup.cj.com/member/signup/publisher/?cid=5540287&utm_source=getlasso#/branded,"Discover ChiliSleep™ is an Award-Winning sleep technology, designed to enhance and help you sleep faster & deeper.","Appliance, Electronics, Home Decor, Mattress, Sleep"
Jatoya Affiliate Program,Physical Product,4% - 10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=94041&utm_source=getlasso,"Jatoya offers affordable Accessories, Clothing, Home & Living and More, to have the perfect combination of performance and fashion.","Art, Baby Products, Cell Phone, Ecommerce, Fashion, Home Decor, Shoes, Sleep, Tech"
Aviya Mattress Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=63633&utm_source=getlasso,Aviya is an online-only Commerce mattress brand offering a luxury innerspring mattress delivered directly to your door.,"Home Decor, Mattress, Sleep"
VERAJ Affiliate Program,Physical Product,7% to 15% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=92592&utm_source=getlasso,Veraj brings a unique blend of natural and stylish Organic Bath & Home Linen Range to make your home a paradise.,"Home Decor, Sleep"
Memoky Affiliate Program,Physical Product,6% Per Sale,14 Days,https://www.shareasale.com/shareasale.cfm?merchantID=65491&utm_source=getlasso,"Memoky is existentially committed to innovative design, carefully curated, and making affordable our favorite art, style & design.","Appliance, Electronics, Home Decor, Mattress, Sleep"
Westlake Home Affiliate Program,Physical Product,6% to 15% Per Sale,45 Days,https://www.shareasale.com/shareasale.cfm?merchantID=99711&utm_source=getlasso,"Westlake Home craft affordable 5-star luxury hotel organic bed sheets in Italy, for the good of our homes & planet.","Home Decor, Sleep"
Sleepgram Affiliate Program,Physical Product,15% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=78322&utm_source=getlasso,"Sleepgram pillows are crafted from 100% organic cotton and feathers, built by hand and designed in the USA.","Home Decor, Sleep"
alicia adams alpaca Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.avantlink.com/programs/17665/alicia-adams-alpaca-affiliate-program/,"alicia adams alpaca is family operated, critically acclaimed - the finest artisan-crafted alpaca home decor, apparel, and gifts.","Baby Products, Fashion, Home Decor, Sleep"
Enchante Home Affiliate Program,Physical Product,10% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=98188&utm_source=getlasso,"Enchante Home is a New York-based home textile company, providing consumers 100% Turkish cotton bath and bedding collections.","Home Decor, Sleep"
Lux Pillows Plus Affiliate Program,Physical Product,8% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=100103&utm_source=getlasso,"Lux Pillows Plus offers Beautiful, multi-functional, self-care, therapeutic pillowcases, pillows, and sleep accessories.","Health and Wellness, Home Decor, Sleep"
Grandin Road Affiliate Program,Physical Product,5% Per Sale,Unknown,https://signup.cj.com/member/signup/publisher/?cid=5295969&utm_source=getlasso#/branded,"Grandin Road offers affordable, designer-inspired home décor for indoors or outdoors and for any space, in and around your home.","Gardening, Home Decor, Mattress, Sleep"
Novostella UK Affiliate Program,Physical Product,20% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=94361&utm_source=getlasso,"Novostella UK is the leading brand of smart floodlight, offering safety, delight, and well-being for global families.","Appliance, Electronics, Home Decor"
Calming Blankets AU Affiliate Program,Physical Product,5% to 20% Per Sale,30 Days,https://ui.awin.com/merchant-profile/20921,"Calming Blankets AU offers premium weighted blankets designed to calm your mind, help you sleep, and reduce the feeling of stress.","Home Decor, Mattress, Sleep"
